trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution,channels_2,channels_3
0,0.9127,0.43795364908874035,458090,2,16,96.0,0.0004335281794951569,256,8,0.14561457009902096,Adam,24,,
1,0.9084,1.349725527688861,104570,3,128,16.0,0.0008612579192594886,256,13,0.46974947078209456,RMSprop,28,64.0,
2,0.8821,0.5049431463703513,316826,2,32,48.0,0.02795015916508337,128,7,0.05793452976256486,Adam,28,,
3,0.8877,0.5189195275306702,128666,3,16,16.0,0.001702741688676441,32,5,0.46484882617128653,RMSprop,24,96.0,
4,0.8986,0.8121161488816142,15370,4,16,16.0,0.0001290211302456716,32,14,0.11978094533348621,RMSprop,24,32.0,16.0
5,0.9054,1.530734752304852,307658,3,128,96.0,0.06459367085984859,256,14,0.1289708138575778,SGD,28,96.0,
6,0.8704,0.6140562007203698,163450,4,96,96.0,0.01735698209081424,64,4,0.18385790152971676,RMSprop,20,48.0,64.0
7,0.9103,0.5176234990358353,109066,3,64,64.0,0.0007644457600399744,64,10,0.4680773870803905,Adam,20,64.0,
8,0.9109,0.7441308116540313,108858,4,128,48.0,0.0059224278919224604,128,4,0.2611216300274022,Adam,28,64.0,32.0
9,0.8788,0.5621441639959812,160074,3,32,64.0,0.009562955396652199,64,10,0.20980003121389496,RMSprop,20,128.0,
10,0.7705,0.3680717898532748,526474,1,64,,0.00010535179945522746,64,11,0.34512353678457264,SGD,16,,
11,0.9094,0.6355254445225,101338,4,48,128.0,0.00012887001490380072,32,15,0.007211750046224624,RMSprop,24,32.0,16.0
12,0.9126,0.42490968480706215,244042,2,64,64.0,0.0005561130883393327,64,8,0.3766121970132361,Adam,20,,
13,0.9119,0.3406527219340205,821386,1,64,,0.0005035305098687468,64,11,0.3950502444479188,Adam,20,,
14,0.9079,0.45409477315843105,244042,2,64,64.0,0.0024981097453878214,64,6,0.34020757531520185,Adam,20,,
15,0.9016,0.4908766597509384,86250,2,64,32.0,0.00038508420504260063,64,9,0.4097873495499178,Adam,16,,
16,0.7897,0.3431691322475672,395210,1,48,,0.00028836342774065017,64,8,0.38622103856122525,SGD,16,,
17,0.9038,0.4204031080007553,95850,2,96,32.0,0.0011608243369206365,128,12,0.2898926965247161,Adam,16,,
18,0.8833,0.41853515431284904,789002,1,96,,0.0052886298600458605,128,12,0.2915330534497464,SGD,16,,
19,0.8581,0.3403378650546074,789002,1,96,,0.0015760968305784536,128,12,0.29529088918580854,SGD,16,,
20,0.9032,0.4524169024080038,95850,2,96,32.0,0.0043617794974566025,128,15,0.21690988386057924,Adam,16,,
21,0.8956,0.46119040343910456,81450,2,48,32.0,0.00028675894354210666,128,8,0.3497498142413083,Adam,16,,
22,0.8493,0.36707678809762,789002,1,96,,0.001033867031282292,128,13,0.26426465869294236,SGD,16,,
23,0.8889,0.5867550848051906,95850,2,96,32.0,0.00024917520915259615,128,9,0.4050750853846987,Adam,16,,
24,0.8895,0.47595780342817307,319818,2,48,128.0,0.0025064449705625353,128,3,0.31875252942917176,Adam,16,,
25,0.8791,0.43504717759788036,789002,1,96,,0.0012893704121610982,32,11,0.37660327296398416,SGD,16,,
26,0.8757,0.5314490757882595,23962,3,32,32.0,0.05965446455178014,256,13,0.22605747241609425,Adam,16,16.0,
27,0.8573,0.6154975388199091,23962,3,32,32.0,0.08351622710745402,256,13,0.2320536419383076,Adam,16,16.0,
28,0.8891,0.5425325594842434,43162,3,96,32.0,0.031238878736949194,128,12,0.16414769460000844,Adam,16,16.0,
29,0.9054,0.3676250344142318,296522,1,16,,0.008526267717417447,256,10,0.08922152697711369,Adam,24,,
30,0.9078,0.5634815664961934,191018,3,16,32.0,0.00947721658192482,256,10,0.08637740209089748,Adam,24,128.0,
31,0.9147,0.4380348837003112,158570,2,32,32.0,0.003103160629192513,256,14,0.2902146563395901,Adam,24,,
32,0.9186,0.5103581584990025,158570,2,32,32.0,0.003196407508809395,256,14,0.28300041599507186,Adam,24,,
33,0.9106,1.3920833822339773,83786,3,128,48.0,0.0006951984117020663,256,13,0.19121655469223078,Adam,28,16.0,
34,0.9106,0.443833414465189,628874,2,32,128.0,0.0020103898203997694,128,12,0.49597823268162433,RMSprop,24,,
35,0.9089,0.667388760484755,47306,4,16,32.0,0.0010892391967657863,256,11,0.0457577782715613,Adam,28,48.0,48.0
36,0.9127,0.5735468352213502,47306,4,16,32.0,0.001220387314033677,32,14,0.017443324666743365,Adam,28,48.0,48.0
37,0.8973,0.6021766690537333,111386,4,16,96.0,0.008537957799369444,32,7,0.0977008495654631,RMSprop,28,48.0,96.0
38,0.8526,0.4410156048834324,1772042,1,96,,0.017065239271698403,32,14,0.444625163887054,Adam,24,,
39,0.9113,0.38786979857832193,207018,2,16,32.0,0.00019035842685451875,128,15,0.005241054561194013,RMSprop,28,,
40,0.9184,0.5746026756241918,146138,3,128,16.0,0.00019721574263778117,128,15,0.14808183215241744,RMSprop,28,96.0,
41,0.8628,0.46079608146101236,76650,2,32,32.0,0.024745615153027683,128,13,0.239064467445041,RMSprop,16,,
42,0.8532,0.5400396883487701,52490,3,16,32.0,0.048399323137692206,256,13,0.04877312813717573,RMSprop,28,32.0,
43,0.8857,0.4866388160735369,142490,2,96,48.0,0.013941460388322587,128,15,0.3118073963102064,RMSprop,16,,
44,0.9104,0.5438095424324274,172730,3,32,16.0,0.00019165027766517113,128,10,0.26820923229255267,Adam,24,128.0,
45,0.8399,0.45538286212831736,132714,2,96,32.0,0.04714142558599292,256,12,0.027960750939649188,RMSprop,20,,
46,0.9236,0.4991468507796526,715946,2,128,96.0,0.0006692547322168579,128,14,0.0690616004538262,Adam,28,,
47,0.7776,0.49578449688851833,47098,3,16,128.0,0.00043150233930509753,128,9,0.12442749627795427,SGD,16,16.0,
48,0.8892,0.3486947389319539,1231370,1,96,,0.003318258369107909,256,6,0.3187608127508575,Adam,20,,
49,0.8934,0.4930976079776883,17002,3,32,16.0,0.0074193453960693465,128,11,0.19338648638985312,RMSprop,16,16.0,
50,0.9078,0.5126914475113153,27242,3,32,16.0,0.005538741440460952,128,10,0.17944878430752653,RMSprop,28,16.0,
51,0.9034,0.3573826514184475,886730,1,48,,0.008068741507067838,128,11,0.11412087115551284,RMSprop,24,,
52,0.8825,0.4035264253616333,36730,2,16,16.0,0.012167480296059624,128,11,0.149356529495163,RMSprop,16,,
53,0.8708,0.38242547307163477,36730,2,16,16.0,0.015903383098159758,128,11,0.14219966733627443,RMSprop,16,,
54,0.826,0.3926349803805351,36730,2,16,16.0,0.029450551362269407,64,9,0.20097235375350506,RMSprop,16,,
55,0.8342,0.2873342717066407,296522,1,16,,0.023703850330433904,64,10,0.16392070338955872,RMSprop,24,,
56,0.8653,0.37203950341790915,36730,2,16,16.0,0.020365530919256324,64,10,0.16970936144640658,RMSprop,16,,
57,0.857,0.377797894179821,55162,2,16,16.0,0.023418228054284007,64,8,0.17134959538598488,RMSprop,20,,
58,0.7642,0.3676439169794321,36730,2,16,16.0,0.039430429986460014,64,9,0.20879931240658056,RMSprop,16,,
59,0.8732,0.3737753489986062,104314,2,16,16.0,0.020090423128016992,64,7,0.15253913380112982,RMSprop,28,,
